totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
        500,         1,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.10000000,          2.06610624,         46.52426940,         -2.44702296,          0.49333014,          6.52489280,          2.04241171,          7.73489201,         75.20855228,         28.68428287,         46.05235822,red             
        500,         2,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.20000000,          2.13271689,         46.45765876,         -2.44039244,          0.49343339,          6.52710514,          2.05606793,          7.73127316,         75.10737093,         28.64971217,         45.98683566,purple          
        500,         3,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.30000000,          2.19932392,         46.39105173,         -2.43374760,          0.49355725,          6.52929625,          2.06972117,          7.72762928,         75.00616417,         28.61511244,         45.92131405,magenta         
        500,         4,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.40000000,          2.26592722,         46.32444843,         -2.42708841,          0.49370180,          6.53146605,          2.08337134,          7.72396037,         74.90493225,         28.58048382,         45.85579354,pink            
        500,         5,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.50000000,          2.33252668,         46.25784897,         -2.42041480,          0.49386710,          6.53361445,          2.09701837,          7.72026644,         74.80367541,         28.54582644,         45.79027423,violet          
        500,         6,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.60000000,          2.39912218,         46.19125347,         -2.41372673,          0.49405322,          6.53574136,          2.11066217,          7.71654749,         74.70239388,         28.51114042,         45.72475626,white           
        500,         7,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.70000000,          2.46571361,         46.12466203,         -2.40702413,          0.49426023,          6.53784671,          2.12430266,          7.71280352,         74.60108792,         28.47642589,         45.65923975,orange          
        500,         8,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.80000000,          2.53230086,         46.05807478,         -2.40030696,          0.49448819,          6.53993041,          2.13793977,          7.70903454,         74.49975776,         28.44168298,         45.59372482,yellow          
        500,         9,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          3.90000000,          2.59888382,         45.99149183,         -2.39357517,          0.49473718,          6.54199237,          2.15157342,          7.70524054,         74.39840365,         28.40691182,         45.52821159,green           
        500,        10,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.00000000,          2.66546236,         45.92491329,         -2.38682869,          0.49500726,          6.54403252,          2.16520351,          7.70142154,         74.29702583,         28.37211254,         45.46270020,lime            
        500,        11,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.10000000,          2.73203638,         45.85833927,         -2.38006747,          0.49529849,          6.54605077,          2.17882999,          7.69757753,         74.19562454,         28.33728527,         45.39719076,brown           
        500,        12,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.20000000,          2.79860576,         45.79176989,         -2.37329146,          0.49561096,          6.54804703,          2.19245275,          7.69370853,         74.09420003,         28.30243014,         45.33168340,olive           
        500,        13,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.30000000,          2.86517039,         45.72520526,         -2.36650060,          0.49594472,          6.55002123,          2.20607173,          7.68981453,         73.99275254,         28.26754728,         45.26617824,blue            
        500,        14,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.40000000,          2.93173015,         45.65864549,         -2.35969483,          0.49629985,          6.55197326,          2.21968685,          7.68589554,         73.89128232,         28.23263682,         45.20067541,cyan            
        500,        15,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.50000000,          2.99828494,         45.59209071,         -2.35287411,          0.49667641,          6.55390306,          2.23329802,          7.68195157,         73.78978960,         28.19769889,         45.13517503,teal            
        500,        16,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.60000000,          3.06483463,         45.52554101,         -2.34603837,          0.49707448,          6.55581053,          2.24690516,          7.67798263,         73.68827464,         28.16273362,         45.06967722,lightgray       
        500,        17,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.70000000,          3.13137912,         45.45899653,         -2.33918756,          0.49749413,          6.55769559,          2.26050819,          7.67398871,         73.58673767,         28.12774114,         45.00418210,gray            
        500,        18,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.80000000,          3.19791829,         45.39245736,         -2.33232162,          0.49793542,          6.55955816,          2.27410704,          7.66996983,         73.48517894,         28.09272158,         44.93868981,darkgray        
        500,        19,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          4.90000000,          3.26445202,         45.32592363,         -2.32544050,          0.49839842,          6.56139814,          2.28770162,          7.66592599,         73.38359870,         28.05767507,         44.87320046,black           
        500,        20,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.00000000,          3.33098020,         45.25939544,         -2.31854413,          0.49888321,          6.56321546,          2.30129186,          7.66185720,         73.28199719,         28.02260174,         44.80771418,red             
        500,        21,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.10000000,          3.39750273,         45.19287292,         -2.31163246,          0.49938986,          6.56501002,          2.31487767,          7.65776347,         73.18037465,         27.98750173,         44.74223110,purple          
        500,        22,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.20000000,          3.46401947,         45.12635618,         -2.30470543,          0.49991843,          6.56678174,          2.32845897,          7.65364481,         73.07873134,         27.95237516,         44.67675133,magenta         
        500,        23,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.30000000,          3.53053032,         45.05984533,         -2.29776299,          0.50046901,          6.56853053,          2.34203569,          7.64950121,         72.97706749,         27.91722216,         44.61127500,pink            
        500,        24,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.40000000,          3.59703517,         44.99334048,         -2.29080508,          0.50104165,          6.57025631,          2.35560774,          7.64533271,         72.87538335,         27.88204287,         44.54580223,violet          
        500,        25,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.50000000,          3.66353390,         44.92684175,         -2.28383163,          0.50163643,          6.57195899,          2.36917504,          7.64113929,         72.77367916,         27.84683742,         44.48033315,white           
        500,        26,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.60000000,          3.73002640,         44.86034925,         -2.27684259,          0.50225343,          6.57363848,          2.38273752,          7.63692097,         72.67195518,         27.81160593,         44.41486788,orange          
        500,        27,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.70000000,          3.79651254,         44.79386311,         -2.26983790,          0.50289271,          6.57529470,          2.39629509,          7.63267776,         72.57021165,         27.77634855,         44.34940655,yellow          
        500,        28,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.80000000,          3.86299223,         44.72738342,         -2.26281750,          0.50355435,          6.57692755,          2.40984768,          7.62840968,         72.46844882,         27.74106540,         44.28394928,green           
        500,        29,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          5.90000000,          3.92946534,         44.66091031,         -2.25578133,          0.50423842,          6.57853695,          2.42339520,          7.62411672,         72.36666692,         27.70575661,         44.21849619,lime            
        500,        30,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.00000000,          3.99593175,         44.59444390,         -2.24872933,          0.50494500,          6.58012281,          2.43693757,          7.61979890,         72.26486621,         27.67042232,         44.15304740,brown           
        500,        31,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.10000000,          4.06239136,         44.52798429,         -2.24166144,          0.50567415,          6.58168504,          2.45047472,          7.61545623,         72.16304694,         27.63506265,         44.08760305,olive           
        500,        32,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.20000000,          4.12884405,         44.46153160,         -2.23457760,          0.50642595,          6.58322356,          2.46400656,          7.61108873,         72.06120935,         27.59967775,         44.02216325,blue            
        500,        33,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.30000000,          4.19528970,         44.39508595,         -2.22747775,          0.50720047,          6.58473827,          2.47753302,          7.60669640,         71.95935369,         27.56426774,         43.95672812,cyan            
        500,        34,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.40000000,          4.26172820,         44.32864745,         -2.22036183,          0.50799779,          6.58622909,          2.49105402,          7.60227926,         71.85748020,         27.52883275,         43.89129780,teal            
        500,        35,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.50000000,          4.32815944,         44.26221621,         -2.21322978,          0.50881798,          6.58769593,          2.50456947,          7.59783731,         71.75558913,         27.49337292,         43.82587241,lightgray       
        500,        36,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.60000000,          4.39458329,         44.19579236,         -2.20608153,          0.50966112,          6.58913869,          2.51807929,          7.59337057,         71.65368074,         27.45788838,         43.76045207,gray            
        500,        37,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.70000000,          4.46099965,         44.12937600,         -2.19891702,          0.51052727,          6.59055729,          2.53158341,          7.58887906,         71.55175527,         27.42237927,         43.69503690,darkgray        
        500,        38,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.80000000,          4.52740840,         44.06296725,         -2.19173620,          0.51141653,          6.59195164,          2.54508175,          7.58436279,         71.44981296,         27.38684571,         43.62962702,black           
        500,        39,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          6.90000000,          4.59380942,         43.99656623,         -2.18453899,          0.51232895,          6.59332165,          2.55857423,          7.57982176,         71.34785406,         27.35128784,         43.56422257,red             
        500,        40,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          7.00000000,          4.66020260,         43.93017305,         -2.17732534,          0.51326461,          6.59466722,          2.57206076,          7.57525600,         71.24587883,         27.31570579,         43.49882367,purple          
        500,        41,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          7.10000000,          4.72658783,         43.86378782,         -2.17009518,          0.51422360,          6.59598827,          2.58554127,          7.57066551,         71.14388752,         27.28009969,         43.43343043,magenta         
        500,        42,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          7.20000000,          4.79296498,         43.79741067,         -2.16284845,          0.51520598,          6.59728471,          2.59901568,          7.56605032,         71.04188036,         27.24446969,         43.36804299,pink            
        500,        43,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          7.30000000,          4.85933394,         43.73104170,         -2.15558508,          0.51621183,          6.59855644,          2.61248392,          7.56141044,         70.93985761,         27.20881591,         43.30266147,violet          
        500,        44,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,          7.40000000,          4.92569461,         43.66468104,         -2.14830502,          0.51724123,          6.59980338,          2.62594589,          7.55674587,         70.83781952,         27.17313848,         43.23728599,white           
